/Users/yingxi/opt/anaconda3/envs/udell/lib/python3.9/site-packages/numpy/lib/function_base.py:518: RuntimeWarning: Mean of empty slice.
  avg = a.mean(axis, **keepdims_kw)
/Users/yingxi/opt/anaconda3/envs/udell/lib/python3.9/site-packages/numpy/core/_methods.py:182: RuntimeWarning: invalid value encountered in divide
  ret = um.true_divide(
## Q8 outputs: ##
Finished iteration 0, profit = 6.81405903774454
Finished iteration 100, profit = 376.90197916943754
Finished iteration 200, profit = 674.4856884179994
Finished iteration 300, profit = 1016.1582950750746
Finished iteration 400, profit = 1330.7682318557986
Finished iteration 500, profit = 1566.3833102179228
Finished iteration 600, profit = 1817.2535248660897
Finished iteration 700, profit = 2136.2136566095933
Finished iteration 800, profit = 2383.3278003235746
Finished iteration 900, profit = 2643.4559716000213
Finished iteration 1000, profit = 2874.060256840153
Finished iteration 1100, profit = 3172.7489236547617
Finished iteration 1200, profit = 3443.444561682117
Finished iteration 1300, profit = 3799.139082909504
Finished iteration 1400, profit = 4031.3392919090793
Finished iteration 1500, profit = 4321.730266977433
Finished iteration 1600, profit = 4619.593406215325
Finished iteration 1700, profit = 4894.274972504805
Finished iteration 1800, profit = 5181.857535323472
Finished iteration 1900, profit = 5416.333403696867
Finished iteration 2000, profit = 5671.393784505916
Finished iteration 2100, profit = 5913.325045660948
Finished iteration 2200, profit = 6173.549690463199
Finished iteration 2300, profit = 6483.703903242926
Finished iteration 2400, profit = 6799.397550222286
Finished iteration 2500, profit = 7104.664555469782
Finished iteration 2600, profit = 7329.714465139951
Finished iteration 2700, profit = 7582.464688033118
Finished iteration 2800, profit = 7785.80935666872
Finished iteration 2900, profit = 7826.596997078546
Finished iteration 3000, profit = 7867.954309623651
Finished iteration 3100, profit = 7887.586049560043
Finished iteration 3200, profit = 7923.0700395823405
Finished iteration 3300, profit = 7982.058578561038
Finished iteration 3400, profit = 8021.678477458401
Finished iteration 3500, profit = 8073.534902161872
Finished iteration 3600, profit = 8124.657187372672
Finished iteration 3700, profit = 8164.162297655611
Finished iteration 3800, profit = 8237.009111835558
Finished iteration 3900, profit = 8304.424779286266
Finished iteration 4000, profit = 8337.388445183142
Finished iteration 4100, profit = 8403.954315135381
Finished iteration 4200, profit = 8436.806687886812
Finished iteration 4300, profit = 8472.26082182753
Finished iteration 4400, profit = 8568.45790779507
Finished iteration 4500, profit = 8613.52679038973
Finished iteration 4600, profit = 8674.330325938387
Finished iteration 4700, profit = 8703.582057888336
Finished iteration 4800, profit = 8727.860104888106
Finished iteration 4900, profit = 8767.876780858172
Finished iteration 5000, profit = 8800.671443712568
Finished iteration 5100, profit = 8838.278720129518
Finished iteration 5200, profit = 8846.723878332592
Finished iteration 5300, profit = 8849.961626734002
Finished iteration 5400, profit = 8853.079897767175
Finished iteration 5500, profit = 8872.323573458321
Finished iteration 5600, profit = 8882.05455147469
Finished iteration 5700, profit = 8891.584211741992
Finished iteration 5800, profit = 8897.148392134188
Finished iteration 5900, profit = 8907.86407849468
Finished iteration 6000, profit = 8913.373976503255
Finished iteration 6100, profit = 8917.7492182397
Finished iteration 6200, profit = 8920.448751240561
Finished iteration 6300, profit = 8927.833814653299
Finished iteration 6400, profit = 8929.91719582895
Finished iteration 6500, profit = 8942.75810371638
Finished iteration 6600, profit = 8951.576330498312
Finished iteration 6700, profit = 8951.576330498312
Finished iteration 6800, profit = 8958.002353782176
Finished iteration 6900, profit = 8972.121898938462
Finished iteration 7000, profit = 8976.381990905842
Finished iteration 7100, profit = 8979.010329909686
Finished iteration 7200, profit = 8987.549663042522
Finished iteration 7300, profit = 8987.549663042522
